"עûסÿקכטסע_ננ3_2לל - RawData"
"Wavelength nm." "Abs."
200,00 3,998
201,00 3,998
202,00 4,000
203,00 4,000
204,00 4,000
205,00 3,966
206,00 3,944
207,00 3,944
208,00 3,812
209,00 3,744
210,00 3,528
211,00 3,361
212,00 3,207
213,00 3,108
214,00 3,010
215,00 2,850
216,00 2,792
217,00 2,697
218,00 2,593
219,00 2,535
220,00 2,453
221,00 2,382
222,00 2,305
223,00 2,247
224,00 2,186
225,00 2,120
226,00 2,064
227,00 2,015
228,00 1,962
229,00 1,912
230,00 1,864
231,00 1,821
232,00 1,777
233,00 1,735
234,00 1,693
235,00 1,655
236,00 1,621
237,00 1,586
238,00 1,553
239,00 1,520
240,00 1,490
241,00 1,461
242,00 1,435
243,00 1,410
244,00 1,388
245,00 1,367
246,00 1,347
247,00 1,327
248,00 1,309
249,00 1,294
250,00 1,278
251,00 1,264
252,00 1,252
253,00 1,239
254,00 1,228
255,00 1,218
256,00 1,209
257,00 1,202
258,00 1,196
259,00 1,191
260,00 1,189
261,00 1,187
262,00 1,188
263,00 1,188
264,00 1,192
265,00 1,194
266,00 1,199
267,00 1,203
268,00 1,208
269,00 1,211
270,00 1,214
271,00 1,215
272,00 1,214
273,00 1,214
274,00 1,212
275,00 1,210
276,00 1,209
277,00 1,208
278,00 1,205
279,00 1,205
280,00 1,203
281,00 1,202
282,00 1,199
283,00 1,196
284,00 1,193
285,00 1,189
286,00 1,185
287,00 1,179
288,00 1,173
289,00 1,164
290,00 1,157
291,00 1,148
292,00 1,140
293,00 1,132
294,00 1,126
295,00 1,118
296,00 1,111
297,00 1,106
298,00 1,100
299,00 1,095
300,00 1,091
301,00 1,084
302,00 1,080
303,00 1,074
304,00 1,069
305,00 1,063
306,00 1,060
307,00 1,058
308,00 1,053
309,00 1,049
310,00 1,047
311,00 1,045
312,00 1,044
313,00 1,041
314,00 1,039
315,00 1,037
316,00 1,035
317,00 1,033
318,00 1,029
319,00 1,030
320,00 1,026
321,00 1,022
322,00 1,018
323,00 1,014
324,00 1,009
325,00 1,005
326,00 0,997
327,00 0,991
328,00 0,983
329,00 0,974
330,00 0,964
331,00 0,953
332,00 0,942
333,00 0,930
334,00 0,918
335,00 0,904
336,00 0,891
337,00 0,875
338,00 0,861
339,00 0,846
340,00 0,829
341,00 0,813
342,00 0,795
343,00 0,779
344,00 0,763
345,00 0,746
346,00 0,729
347,00 0,713
348,00 0,696
349,00 0,678
350,00 0,659
351,00 0,642
352,00 0,626
353,00 0,608
354,00 0,591
355,00 0,573
356,00 0,557
357,00 0,541
358,00 0,525
359,00 0,509
360,00 0,495
361,00 0,479
362,00 0,464
363,00 0,451
364,00 0,437
365,00 0,424
366,00 0,411
367,00 0,398
368,00 0,386
369,00 0,374
370,00 0,363
371,00 0,352
372,00 0,341
373,00 0,330
374,00 0,320
375,00 0,311
376,00 0,302
377,00 0,293
378,00 0,284
379,00 0,275
380,00 0,267
381,00 0,258
382,00 0,251
383,00 0,243
384,00 0,236
385,00 0,230
386,00 0,223
387,00 0,217
388,00 0,211
389,00 0,205
390,00 0,200
391,00 0,195
392,00 0,190
393,00 0,185
394,00 0,181
395,00 0,177
396,00 0,173
397,00 0,170
398,00 0,166
399,00 0,163
400,00 0,159
401,00 0,156
402,00 0,154
403,00 0,151
404,00 0,148
405,00 0,145
406,00 0,143
407,00 0,141
408,00 0,139
409,00 0,137
410,00 0,134
411,00 0,132
412,00 0,131
413,00 0,129
414,00 0,127
415,00 0,125
416,00 0,124
417,00 0,122
418,00 0,121
419,00 0,119
420,00 0,118
421,00 0,117
422,00 0,115
423,00 0,114
424,00 0,113
425,00 0,112
426,00 0,111
427,00 0,110
428,00 0,108
429,00 0,107
430,00 0,106
431,00 0,105
432,00 0,104
433,00 0,103
434,00 0,102
435,00 0,101
436,00 0,100
437,00 0,099
438,00 0,098
439,00 0,097
440,00 0,096
441,00 0,095
442,00 0,094
443,00 0,094
444,00 0,093
445,00 0,092
446,00 0,091
447,00 0,090
448,00 0,090
449,00 0,089
450,00 0,088
451,00 0,087
452,00 0,087
453,00 0,086
454,00 0,085
455,00 0,085
456,00 0,084
457,00 0,083
458,00 0,083
459,00 0,082
460,00 0,081
461,00 0,081
462,00 0,080
463,00 0,080
464,00 0,079
465,00 0,078
466,00 0,078
467,00 0,077
468,00 0,077
469,00 0,076
470,00 0,076
471,00 0,075
472,00 0,075
473,00 0,074
474,00 0,074
475,00 0,073
476,00 0,073
477,00 0,073
478,00 0,072
479,00 0,072
480,00 0,071
481,00 0,071
482,00 0,070
483,00 0,070
484,00 0,070
485,00 0,069
486,00 0,069
487,00 0,069
488,00 0,068
489,00 0,068
490,00 0,068
491,00 0,067
492,00 0,067
493,00 0,066
494,00 0,066
495,00 0,066
496,00 0,066
497,00 0,065
498,00 0,065
499,00 0,065
500,00 0,064
