"5.120 - RawData"
"Wavelength nm." "Abs."
190,00 0,797
191,00 0,767
192,00 0,740
193,00 0,716
194,00 0,697
195,00 0,679
196,00 0,663
197,00 0,648
198,00 0,632
199,00 0,617
200,00 0,601
201,00 0,585
202,00 0,568
203,00 0,551
204,00 0,534
205,00 0,516
206,00 0,498
207,00 0,481
208,00 0,464
209,00 0,448
210,00 0,433
211,00 0,420
212,00 0,406
213,00 0,394
214,00 0,382
215,00 0,370
216,00 0,359
217,00 0,349
218,00 0,339
219,00 0,330
220,00 0,321
221,00 0,311
222,00 0,302
223,00 0,294
224,00 0,286
225,00 0,278
226,00 0,271
227,00 0,264
228,00 0,257
229,00 0,251
230,00 0,245
231,00 0,239
232,00 0,234
233,00 0,229
234,00 0,223
235,00 0,218
236,00 0,214
237,00 0,210
238,00 0,206
239,00 0,202
240,00 0,198
241,00 0,195
242,00 0,192
243,00 0,189
244,00 0,186
245,00 0,184
246,00 0,182
247,00 0,179
248,00 0,177
249,00 0,176
250,00 0,174
251,00 0,172
252,00 0,171
253,00 0,169
254,00 0,168
255,00 0,167
256,00 0,165
257,00 0,164
258,00 0,163
259,00 0,163
260,00 0,162
261,00 0,161
262,00 0,161
263,00 0,161
264,00 0,160
265,00 0,160
266,00 0,160
267,00 0,160
268,00 0,160
269,00 0,160
270,00 0,160
271,00 0,160
272,00 0,159
273,00 0,159
274,00 0,158
275,00 0,158
276,00 0,157
277,00 0,157
278,00 0,156
279,00 0,156
280,00 0,155
281,00 0,155
282,00 0,154
283,00 0,154
284,00 0,153
285,00 0,152
286,00 0,151
287,00 0,151
288,00 0,150
289,00 0,148
290,00 0,147
291,00 0,146
292,00 0,145
293,00 0,144
294,00 0,143
295,00 0,142
296,00 0,141
297,00 0,141
298,00 0,140
299,00 0,139
300,00 0,138
301,00 0,137
302,00 0,136
303,00 0,135
304,00 0,135
305,00 0,134
306,00 0,133
307,00 0,132
308,00 0,131
309,00 0,131
310,00 0,130
311,00 0,130
312,00 0,129
313,00 0,129
314,00 0,129
315,00 0,128
316,00 0,128
317,00 0,127
318,00 0,127
319,00 0,126
320,00 0,126
321,00 0,126
322,00 0,125
323,00 0,125
324,00 0,124
325,00 0,124
326,00 0,123
327,00 0,122
328,00 0,122
329,00 0,121
330,00 0,120
331,00 0,119
332,00 0,118
333,00 0,117
334,00 0,117
335,00 0,115
336,00 0,114
337,00 0,113
338,00 0,112
339,00 0,111
340,00 0,108
341,00 0,108
342,00 0,107
343,00 0,105
344,00 0,104
345,00 0,103
346,00 0,102
347,00 0,100
348,00 0,099
349,00 0,098
350,00 0,094
351,00 0,093
352,00 0,093
353,00 0,091
354,00 0,090
355,00 0,088
356,00 0,087
357,00 0,086
358,00 0,085
359,00 0,083
360,00 0,082
361,00 0,081
362,00 0,080
363,00 0,079
364,00 0,078
365,00 0,077
366,00 0,076
367,00 0,075
368,00 0,074
369,00 0,073
370,00 0,072
371,00 0,071
372,00 0,070
373,00 0,069
374,00 0,069
375,00 0,068
376,00 0,067
377,00 0,066
378,00 0,066
379,00 0,065
380,00 0,064
381,00 0,064
382,00 0,063
383,00 0,063
384,00 0,062
385,00 0,061
386,00 0,061
387,00 0,060
388,00 0,060
389,00 0,059
390,00 0,059
391,00 0,058
392,00 0,058
393,00 0,058
394,00 0,057
395,00 0,057
396,00 0,057
397,00 0,056
398,00 0,056
399,00 0,056
400,00 0,055
401,00 0,055
402,00 0,055
403,00 0,055
404,00 0,055
405,00 0,054
406,00 0,054
407,00 0,054
408,00 0,054
409,00 0,054
410,00 0,053
411,00 0,053
412,00 0,053
413,00 0,053
414,00 0,053
415,00 0,053
416,00 0,053
417,00 0,052
418,00 0,052
419,00 0,052
420,00 0,052
421,00 0,052
422,00 0,052
423,00 0,052
424,00 0,052
425,00 0,051
426,00 0,051
427,00 0,051
428,00 0,051
